FOODID;CONFDID;AMOUNT;FOODUNIT;MASS;EVREMAIN;RECYEAR
356;300;45,00;G;45,00;100;
356;370;30,00;G;30,00;100;
356;322;15,00;G;15,00;100;
356;372;10,00;G;10,00;100;
427;11063;50,00;G;50,00;100;
427;409;30,00;G;30,00;100;
427;401;20,00;G;20,00;100;
436;434;65,00;G;65,00;100;2006
436;433;35,00;G;35,00;100;2006
454;447;37,00;G;37,00;100;
454;440;19,00;G;19,00;100;
454;444;18,00;G;18,00;100;
454;445;15,00;G;15,00;100;
454;442;11,00;G;11,00;100;
11002;330;50,00;G;50,00;100;
11002;33456;50,00;G;50,00;100;
11005;153;25,00;G;25,00;100;
11005;152;25,00;G;25,00;100;
11005;114;25,00;G;25,00;100;
11005;103;25,00;G;25,00;100;
11087;385;;;;;2016
11553;1;25,00;G;25,00;100;2009
11553;11062;19,00;G;19,00;100;2009
11553;11054;19,00;G;19,00;100;2009
11553;11051;19,00;G;19,00;100;2009
11553;11049;19,00;G;19,00;100;2009
28991;900;100,00;G;100,00;100;
28991;28992;100,00;G;100,00;100;
28993;900;100,00;G;100,00;100;
28993;28992;200,00;G;200,00;100;
29150;459;20,00;G;20,00;100;
29150;922;80,00;G;80,00;100;
30221;11521;50,00;G;50,00;100;2006
30221;153;50,00;G;50,00;100;2006
30371;713;25,00;G;25,00;100;2006
30371;176;20,00;G;20,00;100;2006
30371;794;15,00;G;15,00;100;2006
30371;79;1,50;G;1,50;100;2006
30371;708;7,00;G;7,00;100;2006
30371;922;19,50;G;19,50;100;2006
30371;100;12,00;G;12,00;100;2006
30380;901;91,00;G;91,00;100;2006
30380;1;8,00;G;8,00;100;2006
30380;11557;1,00;G;1,00;100;2006
30456;619;80,00;G;80,00;100;2006
30456;411;5,00;G;5,00;100;2006
30456;454;3,00;G;3,00;100;2006
30456;11553;2,50;G;2,50;100;2006
30456;450;2,50;G;2,50;100;2006
30456;472;2,00;G;2,00;100;2006
30456;1;5,00;G;5,00;100;2006
30575;922;80,00;G;80,00;100;2006
30575;30574;20,00;G;20,00;100;2006
31229;32702;75,00;G;75,00;100;2009
31229;32;25,00;G;25,00;100;2009
31457;1;30,00;G;30,00;100;2010
31457;440;40,00;G;40,00;100;2010
31457;922;30,00;G;30,00;100;2010
31459;1;39,00;G;39,00;100;2010
31459;922;21,00;G;21,00;100;2010
31459;28916;40,00;G;40,00;100;2010
31539;454;80,00;G;80,00;100;2010
31539;922;16,00;G;16,00;100;2010
31539;27;4,00;G;4,00;100;2010
32570;153;40,00;G;40,00;100;2011
32570;152;20,00;G;20,00;100;2011
32570;114;20,00;G;20,00;100;2011
32570;103;20,00;G;20,00;100;2011
33130;11086;98,00;G;98,00;100;2011
33130;79;0,70;G;0,70;100;2011
33130;11014;1,30;G;1,30;100;2011
33494;386;90,00;G;90,00;100;2012
33494;922;4,50;G;4,50;100;2012
33494;1;2,65;G;2,65;100;2012
33494;933;2,65;G;2,65;100;2012
33494;79;0,20;G;0,20;100;2012
33568;378;13,00;G;13,00;100;2012
33568;428;17,00;G;17,00;100;2012
33568;11086;13,00;G;13,00;100;2012
33568;427;17,00;G;17,00;100;2012
33568;375;14,00;G;14,00;100;2012
33568;379;13,00;G;13,00;100;2012
33568;376;13,00;G;13,00;100;2012
33569;378;17,00;G;17,00;100;2012
33569;11086;17,00;G;17,00;100;2012
33569;375;17,00;G;17,00;100;2012
33569;376;17,00;G;17,00;100;2012
33569;32464;16,00;G;16,00;100;2012
33569;33095;16,00;G;16,00;100;2012
33579;378;14,00;G;14,00;100;2012
33579;30;2,00;G;2,00;100;2012
33579;11014;1,00;G;1,00;100;2012
33579;11086;14,00;G;14,00;100;2012
33579;375;14,00;G;14,00;100;2012
33579;32464;14,00;G;14,00;100;2012
33579;33095;14,00;G;14,00;100;2012
33579;31212;14,00;G;14,00;100;2012
33579;376;14,00;G;14,00;100;2012
33587;813;5,83;G;5,83;100;2012
33587;812;4,85;G;4,85;100;2012
33587;809;5,83;G;5,83;100;2012
33587;800;6,80;G;6,80;100;2012
33587;871;31,07;G;31,07;100;2012
33587;862;15,53;G;15,53;100;2012
33587;33419;20,39;G;20,39;100;2012
33587;826;3,88;G;3,88;100;2012
33587;815;2,91;G;2,91;100;2012
33587;805;2,91;G;2,91;100;2012
34079;153;30,00;G;30,00;100;2013
34079;103;30,00;G;30,00;100;2013
34079;30991;11,00;G;11,00;100;2013
34079;170;10,00;G;10,00;100;2013
34079;29237;10,00;G;10,00;100;2013
34079;116;9,00;G;9,00;100;2013
34276;922;86,60;G;86,60;100;2015
34276;1;5,30;G;5,30;100;2015
34276;33519;0,10;G;0,10;100;2015
34276;474;8,00;G;8,00;100;2015
34668;11212;50,00;G;50,00;100;2016
34668;31211;40,00;G;40,00;100;2016
34668;30968;10,00;G;10,00;100;2016
34872;378;17,00;G;17,00;100;2016
34872;11086;17,00;G;17,00;100;2016
34872;375;17,00;G;17,00;100;2016
34872;376;17,00;G;17,00;100;2016
34872;32464;16,00;G;16,00;100;2016
34872;33095;16,00;G;16,00;100;2016
34905;11521;50,00;G;50,00;100;2016
34905;151;50,00;G;50,00;100;2016
34907;103;30,00;G;30,00;100;2016
34907;158;70,00;G;70,00;100;2016
