FOODID;FOODNAME;LANG
1;Sokeri;FI
2;Fruktoosi, hedelmäsokeri;FI
3;Siirappi;FI
4;Hunaja;FI
5;Makeinen, karamelli;FI
6;Suklaa, keskiarvo;FI
7;Suklaakonvehti, marmeladitäyte;FI
8;Lakritsi;FI
9;Makeinen, marmeladimakeinen;FI
10;Marsipaani, mantelimassa;FI
11;Makeinen, toffee;FI
12;Makeinen, salmiakkipastilli;FI
14;Suklaapatukka suklainen, keskiarvo;FI
20;Kaakaojauhe, ei lisättyä sokeria;FI
21;Kaakaojauhe, sokeroitu;FI
24;Sorbitoli;FI
25;Liivate;FI
26;Hiiva, tuore;FI
27;Jauho, maissitärkkelys;FI
28;Sinappi;FI
30;Ruokasuola, jodioitu;FI
31;Maustekastike, soijakastike;FI
32;Suklaa, tumma;FI
33;Suklaa, maitosuklaa;FI
34;Halva seesamsiemenvalmiste;FI
35;Makeinen, sokeriton;FI
36;Mineraalisuola, keskiarvo;FI
37;Suklaa, sokeriton, keinotekoisesti makeutettu;FI
38;Lihaliemijauhe/tiiviste;FI
39;Makeutusaine, aspartaami, jauhe;FI
40;Välipalapatukka, kuituinen;FI
43;Ruismallas;FI
44;Suklaapatukka täytesuklaa, keskiarvo;FI
62;Ksylitolipastilli;FI
63;Suklaapatukka vähärasvainen;FI
65;Ksylitolipurukumi;FI
66;Purukumi;FI
68;Ohratärkkelys;FI
69;Hedelmäpastilli, arabikumipastilli;FI
70;Makeutusaine sakariini;FI
73;Jogurttirusina/jogurttihedelmä, kuorrutettu kuivattu hedelmä;FI
74;Leivinjauhe;FI
75;Kalaliemi, laimennettu;FI
79;Ruokasuola, jodioimaton, vuorisuola;FI
100;Jauho, ruisjauho, kokojyväjauho;FI
103;Ruishiutale;FI
110;Jauho, vehnäjauho, puolikarkea;FI
111;Jauho, grahamjauho;FI
112;Mannasuurimo;FI
113;Mannasuurimo, tumma;FI
114;Vehnähiutale;FI
115;Vehnänalkio;FI
116;Lese, vehnälese;FI
117;Makaroni, pasta;FI
119;Makaroni, tumma;FI
120;Nuudeli, vehnänuudeli;FI
121;Pasta, spagetti, makaroni;FI
124;Jauho, hiivaleipävehnäjauho;FI
125;Jauho, jauhoseos, sämpyläjauho, vehnäjauho, ruisjauho, vehnärouhe;FI
126;Jauho, korppujauho;FI
133;Vohvelikuori, jäätelövohveli;FI
142;Jauho, vehnäjauho, leipomoteollisuus, vastajauhettu;FI
150;Jauho, ohrajauho;FI
151;Ohrasuurimo;FI
152;Ohrahiutale;FI
153;Kaurahiutale;FI
154;Jauho, jauhoseos, talkkunajauho, sisältää ohraa;FI
156;Riisi puuroutuva;FI
158;Täysjyväriisi;FI
160;Jauho, hirssisuurimo tai -jauho;FI
161;Jauho, tattarisuurimo tai -jauho;FI
162;Jauho, perunajauho tai -suurimo, perunatärkkelys;FI
167;Maissi, jyvä, kuivattu;FI
168;Kalja- / mämmimallas;FI
170;Lese, kauralese;FI
172;Pasta, pinaattispagetti, sisältää kananmunaa;FI
173;Kauramakaroni, sisältää vehnää ja kauraa;FI
175;Rouhe, vehnärouhe kokojyvästä;FI
176;Rouhe, ruisrouhe;FI
182;Jauho, riisijauho, riisihiutale;FI
183;Jauho, täysjyväriisijauho;FI
184;Maissilastu, tacokuori;FI
185;Jauho, jauhoseos, gluteeniton, vehnätärkkelystä;FI
189;Jauho, jauhoseos, ruis-vehnä;FI
202;Peruna, kuivattu;FI
203;Perunalastu;FI
204;Peruna, uusi;FI
205;Peruna, vanha, kuorittu;FI
206;Perunasosejauhe, valmistamaton;FI
207;Ranskanperunavalmiste;FI
209;Perunahiutale;FI
300;Porkkana;FI
302;Porkkana, kuivattu;FI
303;Lanttu;FI
304;Nauris;FI
305;Punajuuri;FI
307;Etikkapunajuuri;FI
308;Retiisi;FI
309;Palsternakka;FI
310;Maa-artisokka;FI
311;Juuriselleri;FI
312;Mustajuuri;FI
320;Valkokaali, keräkaali;FI
321;Punakaali;FI
322;Kukkakaali;FI
324;Parsakaali, brokkoli;FI
326;Lehtikaali;FI
327;Ruusukaali;FI
329;Kyssäkaali, kaalirapi;FI
330;Lehtisalaatti, ruukkusalaatti, lollo rosso;FI
331;Jäävuorisalaatti, rapea keräsalaatti, amerikansalaatti;FI
333;Persilja;FI
334;Nokkonen;FI
335;Sipuli, keltasipuli;FI
336;Sipuli, kuivattu;FI
337;Purjosipuli;FI
338;Raparperi;FI
339;Lehtiselleri, varsiselleri;FI
340;Parsa, säilötty;FI
342;Sieni tatti, hapero;FI
343;Sieni rouskut, suolattu;FI
344;Etikkasienisäilyke;FI
345;Herkkusieni;FI
346;Kurkku;FI
347;Etikkakurkku, ei lisättyä sokeria;FI
348;Maustekurkku, herkkukurkku, sokerisuolattu;FI
350;Kurpitsa;FI
351;Salaatti, kurpitsasalaatti, pikkelssi;FI
352;Tomaatti;FI
353;Ketsuppi;FI
354;Tomaattisose, tomaattipyree;FI
355;Paprika, keskiarvo;FI
356;Sekavihannes, porkkana, kukkakaali, herne, papu;FI
358;Täysmehu, kasvistuoremehu;FI
359;Kiinankaali;FI
360;Mangoldi;FI
362;Munakoiso;FI
363;Maissi, jyvät;FI
364;Vihanneskrassi;FI
367;Kantarelli;FI
368;Korvasieni;FI
369;Tilli, tuore;FI
370;Herne, vihreä, tuore;FI
371;Herne, vihreä, kuivattu;FI
372;Papu, vihreä taitepapu, tuore;FI
373;Papu, ruskea tai valkoinen, kuivattu, keskiarvo;FI
375;Pähkinä, hasselpähkinä;FI
376;Pähkinä, saksanpähkinä;FI
377;Kastanja;FI
378;Pähkinä, maapähkinä;FI
379;Manteli;FI
380;Jauho, soijajauho, rasvainen;FI
381;Jauho, soijajauho, vähärasvainen;FI
382;Kookoshiutale;FI
383;Pähkinä, suolapähkinä;FI
384;Itu, keskiarvo, sinimailanen, mungopapu;FI
385;Seesaminsiemen, kuorineen;FI
386;Paprika, punainen;FI
387;Paprika, vihreä;FI
388;Paprika, keltainen;FI
389;Kesäkurpitsa, zucchini;FI
390;Täysmehu, tomaattimehu;FI
391;Soijapapu, kuivattu;FI
392;Ruohosipuli;FI
393;Valkosipuli;FI
394;Salaatti, kurkkusalaatti, kurkkupikkelssi, kurkkurelissi;FI
395;Papu, valkoinen, keitetty;FI
398;Tomaattimurska;FI
399;Linssi, vihreä/ruskea, kuivattu;FI
401;Omena, kuivattu;FI
408;Aprikoosi, sokeriliemessä;FI
409;Aprikoosi, kuivattu;FI
411;Persikka, sokeriliemessä;FI
412;Persikka, kuivattu;FI
417;Ananas, sokeriliemessä;FI
423;Viinirypäle, keskiarvo, kivetön, vihreä/tumma;FI
427;Sekahedelmä, kuivattu;FI
428;Rusina;FI
431;Oliivi, keskiarvo, punnittu kivineen, öljyssä, vihreä/musta;FI
432;Hedelmäsalaattisäilyke, sokeriliemessä;FI
433;Täysmehu, omenatäysmehu, c-vitamiinia;FI
434;Täysmehu, appelsiinitäysmehu, c-vitamiinia;FI
435;Täysmehu, greippitäysmehu, c-vitamiinia;FI
436;Täysmehu, c-vitamiinia, keskiarvo;FI
437;Täysmehu, sitruunatäysmehu, laimennettu;FI
438;Täysmehu, ananastäysmehu, c-vitamiinia;FI
440;Puolukka;FI
441;Karpalo;FI
442;Mustikka, metsämustikka;FI
444;Mustaherukka;FI
445;Punaherukka;FI
446;Karviainen;FI
447;Mansikka;FI
448;Vadelma;FI
449;Lakka, suomuurain, hilla;FI
450;Marjahillo, keskiarvo;FI
451;Mehu, höyrymehu, laimentamaton, sokeroitu;FI
452;Mehu, höyrymehu, mustaherukka, laimentamaton, sokeroitu;FI
453;Mehu, höyrymehu laimentamaton, sokeriton;FI
454;Marja, keskiarvo;FI
455;Tyrnimarja;FI
456;Marmeladi, marjoista;FI
457;Pihlajanmarja;FI
458;Mehu, mustaherukka-puolukkamehujuoma;FI
459;Mehu, mehujuoma, puolukka, laimentamaton;FI
461;Mehu, höyrymehu laimennettu, sokeroitu;FI
462;Mehu, höyrymehu, mustaherukka, laimennettu, sokeroitu;FI
463;Mehu, höyrymehu laimennettu, sokeriton;FI
469;Täysmehu, viiden hedelmän mehu, c-vitamiinia;FI
471;Ananas, omassa liemessään;FI
472;Omenasose, makeuttamaton;FI
473;Mehu, nektari, hedelmäjuoma, hedelmäpitoisuus 50 %;FI
474;Täysmehu, marjatäysmehu;FI
476;Hillo, fruktoosilla makeutettu;FI
477;Meloni, verkkomeloni/cantaloupemeloni, kuorittu;FI
478;Marjajuoma, nektari, marjapitoisuus 50 %;FI
500;Voi;FI
530;Leipomoteollisuusmargariini 80%, leivonta;FI
531;Ruokaöljy teollisuuskäyttöön, 70 % rypsiöljyä, 30 % palmuöljyä;FI
535;Rypsiöljy;FI
536;Oliiviöljy;FI
537;Maapähkinäöljy;FI
540;Auringonkukkaöljy;FI
541;Ruokaöljy keskiarvo, 87 % rypsi- 8 % auringonkukka- ja 5% oliiviöljy;FI
542;Soijaöljy;FI
543;Maissiöljy;FI
550;Paistinrasva, laardi;FI
552;Kookosrasva 100 %;FI
553;Tali, raaka naudanrasva;FI
562;Majoneesi, hampurilaiskastike, rasvaa 60 %;FI
563;Salaatinkastike, ranskalainen;FI
565;Rasvaseos 40%, kevyt levi, vähemmän suolaa, vl;FI
568;Margariini 60%, rainbow/pirkka/eldorado/k-menu;FI
570;Rasvaseos 40%, kevyt levi vl;FI
576;Voi, suolaton;FI
578;Majoneesi, rasvaa 27-33 %;FI
579;Salaatinkastike, rasvaa <17%, vähärasvainen;FI
585;Voi, voimakassuolainen;FI
593;Leivontamargariini 80%, pirkka/rainbow;FI
597;Rasvaseoslevite 75 %, tuotekeskiarvo;FI
598;Voiöljy 100%, maitorasvaa;FI
600;Maito, tilamaito, raakamaito, rasvaa 4,4 %, ei lisätty d-vitamiinia;FI
602;Ternimaito;FI
604;Maito, kutunmaito, vuohenmaito;FI
606;Maito, rasvaton, d-vitamiinia 1 ug;FI
611;Piimä, talouspiimä, rasvaa 0,8 %, d-vit 0,5 ug;FI
612;Piimä, rasvaton, d-vit 1 ug;FI
