FOODID;FOODNAME;LANG
1;Socker;SV
2;Fruktsocker, fruktos;SV
3;Sirap;SV
4;Honung;SV
5;Sötsak, karamell;SV
6;Choklad, medelvärde;SV
7;Chokladkonfekt med marmeladfyllning;SV
8;Lakrits;SV
9;Sötsak, marmelad;SV
10;Marsipan, mandelmassa;SV
11;Sötsak, toffee;SV
12;Sötsak, salmiakpastill;SV
14;Chokladstång med choklad, medelvärde;SV
20;Kakaopulver, utan tillsatt socker;SV
21;Kakaopulver, sockrat;SV
24;Sorbitol;SV
25;Gelatin;SV
26;Jäst, färsk;SV
27;Mjöl, majsstärkelse;SV
28;Senap;SV
30;Koksalt, joderat;SV
31;Kryddsås, sojasås;SV
32;Choklad, mörk choklad;SV
33;Choklad, mjölkchoklad;SV
34;Halva, sesamfröpreparat;SV
35;Sötsak, sockerfri;SV
36;Mineralsalt, medelvärde;SV
37;Choklad, sockerfri, syntetiskt sötad;SV
38;Köttbuljongpulver/koncentrat;SV
39;Sötningsmedel, aspartam, pulver;SV
40;Mellanmålsstång, fiberrik;SV
43;Rågmalt;SV
44;Chokladstång med chokladfyllning, medelvärde;SV
62;Pastill, sötad med xylitol;SV
63;Chokladstång, låg fetthalt;SV
65;Xylitoltuggummi;SV
66;Tuggummi;SV
68;Kornstärkelse;SV
69;Fruktpastill, gummi arabicum;SV
70;Sötningsmedel, sackarin;SV
73;Yoghurtrussin/yoghurtfrukt, överdragen torkad frukt;SV
74;Bakpulver;SV
75;Fiskbuljong, utspädd;SV
79;Salt, ojodat bergssalt;SV
100;Mjöl, rågmjöl, fullkornsmjöl;SV
103;Rågflingor;SV
110;Mjöl, vetemjöl, halvgrovt;SV
111;Mjöl, grahammjöl;SV
112;Mannagryn;SV
113;Mannagryn, mörka;SV
114;Veteflingor;SV
115;Vetegroddar;SV
116;Kli, vetekli;SV
117;Makaroni, pasta;SV
119;Makaroner, mörka;SV
120;Nudel, vete;SV
121;Pasta, spaghetti, makaroni;SV
124;Mjöl, jästbrödsvetemjöl;SV
125;Mjöl, mjölblandning, semlemjöl, vetemjöl, rågmjöl, vetekross;SV
126;Mjöl, skorpmjöl;SV
